grasp_index,success_rate
10,0.68
16,0.98
30,0.9
40,0.92
61,0.98
64,0.8
67,0.9
68,1.0
69,1.0
73,0.96
86,0.98
88,1.0
91,1.0
93,1.0
97,0.96
110,0.92
111,0.92
117,0.88
119,0.9
123,1.0
130,0.38
132,1.0
135,1.0
138,0.94
139,1.0
145,0.68
146,1.0
150,0.96
154,0.58
156,0.4
159,0.98
160,0.3
162,0.96
163,1.0
181,0.74
182,1.0
193,1.0
196,0.94
206,0.46
208,0.94
209,0.66
213,0.98
224,0.92
240,1.0
244,1.0
246,0.98
254,0.72
257,1.0
259,0.92
268,0.44
269,0.98
270,0.88
271,1.0
273,0.88
277,0.96
278,0.34
279,1.0
288,1.0
300,1.0
302,0.86
306,1.0
315,0.4
324,1.0
339,1.0
347,0.96
351,0.92
358,0.98
360,0.4
374,0.54
377,0.44
378,1.0
379,0.5
381,0.96
386,1.0
387,0.5
388,0.88
391,0.98
398,0.7
401,1.0
403,0.98
404,1.0
411,0.9
422,0.92
425,0.98
437,0.98
438,0.62
439,1.0
441,1.0
442,0.56
445,0.82
446,0.98
461,1.0
468,0.66
473,0.96
475,1.0
476,0.98
477,0.34
481,1.0
483,0.96
494,1.0
499,0.88
512,0.28
519,0.94
530,0.24
531,0.9
532,1.0
533,0.32
544,1.0
553,0.98
560,0.92
562,0.42
570,1.0
580,1.0
582,0.94
589,0.54
601,0.86
607,1.0
608,0.72
610,0.98
623,0.7
649,1.0
651,0.8
661,0.96
668,1.0
669,0.7
678,1.0
685,1.0
693,0.94
697,0.6
700,1.0
708,1.0
712,0.92
723,0.86
730,0.64
731,0.98
737,0.44
738,0.82
739,0.98
742,1.0
743,0.76
753,0.98
760,0.98
764,1.0
767,1.0
779,1.0
782,0.98
790,0.98
799,0.96
800,0.92
802,0.84
812,0.42
817,1.0
830,0.8
835,1.0
847,0.96
854,0.86
863,1.0
872,0.9
895,1.0
899,1.0
900,0.52
901,1.0
903,1.0
907,0.94
911,0.98
919,1.0
923,1.0
934,0.78
939,1.0
940,0.9
943,0.94
953,0.9
954,0.66
962,0.9
972,0.98
979,1.0
981,0.98
982,0.88
987,0.84
992,1.0
1000,0.92
1001,0.64
1005,0.96
1006,0.96
1012,0.98
1030,0.98
1032,1.0
1043,0.92
1044,0.94
1046,0.08
1059,0.94
1062,1.0
1067,0.98
1070,0.62
1072,0.94
1082,0.86
1086,0.84
1095,0.88
1096,0.76
1100,1.0
1103,0.96
1110,0.98
1123,1.0
1128,0.88
1130,0.92
1135,0.62
1139,0.98
1141,1.0
1151,0.72
1156,0.4
1157,0.64
1166,0.98
1169,1.0
1174,0.98
1177,0.98
1192,0.26
1193,0.42
1194,0.54
1196,0.66
1208,0.92
1211,0.88
1215,1.0
1218,0.82
1219,0.96
1223,1.0
1228,0.9
1230,0.74
1250,0.5
1256,0.98
1258,1.0
1269,0.7
1270,0.86
1273,1.0
1275,0.8
1277,0.6
1279,1.0
1280,1.0
1281,0.96
1284,0.84
1295,0.74
1300,0.98
1315,0.94
1325,0.84
1326,0.96
1336,1.0
1343,0.96
1345,0.84
1348,1.0
1351,0.84
1354,0.88
1355,0.36
1377,1.0
1383,0.4
1384,0.86
1386,0.38
1387,0.76
1400,0.86
1401,0.76
1403,1.0
1407,1.0
1416,0.88
1423,1.0
1424,1.0
1426,1.0
1431,0.4
1433,0.74
1439,0.52
1442,0.28
1445,0.52
1447,0.58
1449,0.78
1455,0.4
1458,0.8
1462,0.88
1468,0.96
1473,1.0
1478,0.96
1487,0.94
1489,0.96
1500,0.3
1532,0.72
1534,0.02
1559,0.88
1571,0.92
1573,0.5
1578,0.96
1579,0.92
1581,0.58
1585,1.0
1587,0.8
1600,0.72
1601,0.64
1604,0.2
1607,0.84
1614,0.72
1636,0.44
1637,0.94
1642,0.98
1645,0.1
1658,0.46
1662,0.08
1687,0.8
1698,0.98
1700,0.46
1707,1.0
1710,0.76
1718,0.98
1719,1.0
1730,0.86
1731,0.88
1733,0.54
1736,1.0
1737,0.9
1760,0.92
1761,0.78
1765,0.4
1767,0.86
1768,1.0
1776,0.36
1778,0.9
1788,0.12
1798,0.1
1800,0.66
1804,1.0
1812,0.94
1827,0.36
1828,0.98
1840,0.52
1845,0.06
1849,0.98
1854,0.64
1859,0.98
1874,1.0
1884,0.8
1889,0.26
1891,0.5
1893,0.82
1896,0.3
1901,0.86
1904,0.64
1906,0.6
1914,0.7
1919,0.62
1923,0.74
1924,0.96
1926,0.68
1928,0.72
1930,0.32
1954,1.0
1955,0.72
1956,0.5
2001,0.7
2002,0.96
2009,0.5
2020,0.3
2023,0.98
2024,1.0
2025,0.96
2027,0.74
2028,0.98
2029,1.0
2031,1.0
2035,1.0
2036,0.94
2043,0.84
2047,0.84
2071,1.0
2075,0.56
2078,1.0
2087,0.58
2092,0.7
2097,0.78
2098,0.52
2101,0.46
2108,1.0
2121,1.0
2122,0.46
2124,0.62
2139,0.16
2142,0.86
2143,0.48
2148,0.74
2150,0.54
2154,0.3
2159,0.98
2162,0.98
2169,0.68
2178,0.54
2180,0.78
2190,0.5
2191,0.82
2201,0.3
2207,1.0
2217,1.0
2225,0.8
2231,0.76
2234,1.0
